Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Custom study tncs accepted at
65391e6c824423f6f38c9341,5eb18087e9d94a27f784874b,APPROVED,2023-10-25T13:55:58.595000Z,2023-10-25T14:29:25.077000Z,2023-10-26T00:08:38.653000Z,2023-10-25T14:29:25.655236Z,2007.0,CVPIIDEI,1012,34,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,
65391ee7cb77d17352b370e6,616f727b03e888e0f8213eec,APPROVED,2023-10-25T13:57:59.980000Z,2023-10-25T14:36:18.449000Z,2023-10-26T00:08:09.345000Z,2023-10-25T14:36:19.016516Z,2299.0,CVPIIDEI,1942,32,Male,White,United States,United States,United States,English,No,Full-Time,
65391ef4c07fd90eda6c1d64,60e7739644eb45bfddedf039,APPROVED,2023-10-25T13:58:16.276000Z,2023-10-25T14:15:15.003000Z,2023-10-26T00:08:20.682000Z,2023-10-25T14:15:15.780134Z,1019.0,CVPIIDEI,4174,35,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,
65391efa897d68dd53a06b45,62b4ef82055cec7135502ada,APPROVED,2023-10-25T13:58:18.661000Z,2023-10-25T14:36:50.839000Z,2023-10-26T00:08:05.675000Z,2023-10-25T14:36:51.545617Z,2313.0,CVPIIDEI,604,30,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,
65391f1a2324df7d17887d18,59715b4b50e2f000016fe00e,APPROVED,2023-10-25T13:59:02.659000Z,2023-10-25T14:38:16.243000Z,2023-10-26T00:08:56.318000Z,2023-10-25T14:38:16.879667Z,2354.0,CVPIIDEI,5033,40,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,
65393103c591c5651bea4a5c,6441a0b968ccfb017694a842,APPROVED,2023-10-25T15:15:39.548000Z,2023-10-25T16:05:53.051000Z,2023-10-26T00:07:48.193000Z,2023-10-25T16:05:54.401104Z,3014.0,CVPIIDEI,954,25,Male,Asian,United States,United States,United States,English,No,Full-Time,
6539141f60348c88a74a5eab,610c2ed3e8d063ca63e9b4af,APPROVED,2023-10-25T13:12:04.040000Z,2023-10-25T13:40:14.325000Z,2023-10-26T00:07:11.188000Z,2023-10-25T13:40:14.920598Z,1691.0,CVPIIDEI,351,27,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,
6539154d410393c4b64a63bb,6524022b30e81247918e1f50,APPROVED,2023-10-25T13:17:05.185000Z,2023-10-25T13:42:55.813000Z,2023-10-26T00:07:12.909000Z,2023-10-25T13:42:56.328756Z,1551.0,CVPIIDEI,77,32,Female,Mixed,United States,United States,United States,English,No,DATA_EXPIRED,
6539181e76ddfb72c2b85f6a,5ec4815fa0c12817c4f8e846,APPROVED,2023-10-25T13:29:07.835000Z,2023-10-25T13:38:03.394000Z,2023-10-26T00:07:34.389000Z,2023-10-25T13:38:03.917852Z,536.0,CVPIIDEI,827,26,Female,Black,United States,United States,United States,English,Yes,Unemployed (and job seeking),
6539187f897d68dd53a06960,5f2d95153c1140074cc81b4c,APPROVED,2023-10-25T13:30:46.351000Z,2023-10-25T14:07:39.172000Z,2023-10-26T00:08:31.823000Z,2023-10-25T14:07:39.626586Z,2213.0,CVPIIDEI,3533,39,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,
6539188bae4832647b7c1282,6050896eb3d95354f1e2cb8a,APPROVED,2023-10-25T13:30:53.978000Z,2023-10-25T13:54:42.425000Z,2023-10-26T00:08:25.123000Z,2023-10-25T13:54:42.897293Z,1429.0,CVPIIDEI,648,27,Female,White,United States,United States,United States,English,No,Part-Time,
6539198cc1d916e0c726ea62,63d13b586b230d231577a44b,APPROVED,2023-10-25T13:35:25.903000Z,2023-10-25T13:46:02.599000Z,2023-10-26T00:07:54.100000Z,2023-10-25T13:46:03.130568Z,637.0,CVPIIDEI,654,35,Female,White,United States,United States,United States,English,No,Full-Time,
653919994fcc9ac6dafd3f07,60d1af27fbac62dfb9687c96,APPROVED,2023-10-25T13:35:26.471000Z,2023-10-25T14:00:07.675000Z,2023-10-26T00:08:22.184000Z,2023-10-25T14:00:08.415921Z,1482.0,CVPIIDEI,400,22,Female,Asian,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,
653919b234104f7c65bb80be,5e1907e796a3711d107baeb6,APPROVED,2023-10-25T13:35:50.639000Z,2023-10-25T13:43:58.925000Z,2023-10-26T00:08:42.031000Z,2023-10-25T13:43:59.390027Z,489.0,CVPIIDEI,801,26,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",
653919d8190545416ac60d91,629a7466cebc9523d66d4d8e,APPROVED,2023-10-25T13:36:30.343000Z,2023-10-25T13:49:38.943000Z,2023-10-26T00:08:07.094000Z,2023-10-25T13:49:39.492621Z,789.0,CVPIIDEI,153,24,Female,White,United States,United States,United States,English,Yes,Part-Time,
65391af5931a6efa054eed25,6130c9c7f70b6f67907d58d5,APPROVED,2023-10-25T13:41:13.219000Z,2023-10-25T13:51:28.682000Z,2023-10-26T00:08:13.515000Z,2023-10-25T13:51:29.163527Z,616.0,CVPIIDEI,3264,37,Female,White,United States,United States,United States,English,DATA_EXPIRED,Part-Time,
65391af7a035e6b68226eb75,5aa485b11eda41000136c94b,APPROVED,2023-10-25T13:41:11.015000Z,2023-10-25T13:57:23.082000Z,2023-10-26T00:08:53.467000Z,2023-10-25T13:57:23.700469Z,973.0,CVPIIDEI,918,36,Female,Asian,United States,United States,United States,English,No,Unemployed (and job seeking),
65391b85d4fe07b8d3efe5df,5ea1ee658a9acd0eff894ae2,APPROVED,2023-10-25T13:44:01.435000Z,2023-10-25T14:06:48.295000Z,2023-10-26T00:08:39.842000Z,2023-10-25T14:06:48.847487Z,1367.0,CVPIIDEI,1262,30,Female,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,
65391baa7f5a2438736516cb,5f111456d672e8471ca03f46,APPROVED,2023-10-25T13:44:49.747000Z,2023-10-25T14:37:33.496000Z,2023-10-26T00:08:34.460000Z,2023-10-25T14:37:34.308764Z,3164.0,CVPIIDEI,2175,36,Female,Black,United States,United States,United States,English,No,Full-Time,
