Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Custom study tncs accepted at
65ce1ecb19d5f8847e385522,5f91ad1383e7f604b18ae4cb,AWAITING REVIEW,2024-02-15T14:25:21.572000Z,2024-02-15T14:34:34.019000Z,,2024-02-15T14:34:34.599003Z,553,CVPIIDEI,1179,26,Male,White,United States,United States,United States,English,No,Full-Time,Not Applicable
65ce1eeaa80b51191daf7e9a,5930c7fdfa699e0001017cc1,AWAITING REVIEW,2024-02-15T14:25:46.027000Z,2024-02-15T14:36:35.523000Z,,2024-02-15T14:36:36.420431Z,650,CVPIIDEI,589,36,Male,White,United States,United States,United States,English,No,Full-Time,Not Applicable
65ce1f58535efc6f91fd62dc,6135752aa4ee5158b0708670,AWAITING REVIEW,2024-02-15T14:27:36.248000Z,2024-02-15T15:17:02.758000Z,,2024-02-15T15:17:03.299673Z,2967,CVPIIDEI,1213,33,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,Not Applicable
65ce1f64064cd8260efd2ea8,5f57620f2095071eaf7a8224,AWAITING REVIEW,2024-02-15T14:27:50.975000Z,2024-02-15T14:36:56.395000Z,,2024-02-15T14:36:56.866365Z,546,CVPIIDEI,3271,25,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking),Not Applicable
65ce1f77a80b51191daf7eba,64aed38380530892e02c1e21,AWAITING REVIEW,2024-02-15T14:28:17.485000Z,2024-02-15T14:38:12.540000Z,,2024-02-15T14:38:13.036493Z,596,CVPIIDEI,1163,40,Female,White,United States,United States,United States,English,No,Full-Time,Not Applicable
65ce1f8986021fa092b3e27a,631b842a5603f48811a26093,AWAITING REVIEW,2024-02-15T14:28:49.971000Z,2024-02-15T14:37:19.950000Z,,2024-02-15T14:37:20.517981Z,510,CVPIIDEI,1899,30,Female,Mixed,United States,United States,United States,English,No,Full-Time,Not Applicable
65ce1e2f6bf66e6fee19fd20,5ae5283253072800018d5b81,AWAITING REVIEW,2024-02-15T14:29:00.288000Z,2024-02-15T14:52:39.065000Z,,2024-02-15T14:52:39.976621Z,1419,CVPIIDEI,1642,32,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,Not Applicable
65ce1fa6a80b51191daf7ec6,6235539e17f00ae3c9756495,AWAITING REVIEW,2024-02-15T14:29:00.864000Z,2024-02-15T14:40:33.339000Z,,2024-02-15T14:40:34.125353Z,693,CVPIIDEI,850,37,Male,White,United States,United States,United States,English,No,DATA_EXPIRED,Not Applicable
65ce1fa9393784dbe2267400,6313f4ebb6eb359b0650a088,AWAITING REVIEW,2024-02-15T14:29:07.355000Z,2024-02-15T14:43:48.591000Z,,2024-02-15T14:43:49.096724Z,882,CVPIIDEI,991,25,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking),Not Applicable
65ce1fdbc205f2634fb5dbb8,5e9f01c2517b95026e74c12d,AWAITING REVIEW,2024-02-15T14:29:51.925000Z,2024-02-15T14:40:03.106000Z,,2024-02-15T14:40:03.662427Z,612,CVPIIDEI,712,22,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,Not Applicable
